year;month;end_of_week;avg_goals_per_match_home;home_avg_growth %;avg_goals_per_match_away;away_avg_growth %
2011;04;2011-04-24;1.75;0.1364;1.21;0.1
2011;04;2011-04-17;1.54;0.0405;1.1;-0.12
2011;04;2011-04-10;1.48;-0.0133;1.25;-0.031
2011;04;2011-04-03;1.5;2;1.29;-0.484
2011;03;2011-03-27;0.5;-0.6622;2.5;1.551
2011;03;2011-03-20;1.48;0.0647;0.98;-0.1404
2011;03;2011-03-13;1.39;-0.1203;1.14;0.2258
2011;03;2011-03-06;1.58;0.1618;0.93;-0.1308
2011;02;2011-02-27;1.36;-0.1169;1.07;0.2442
2011;02;2011-02-20;1.54;-0.0375;0.86;-0.2586
2011;02;2011-02-13;1.6;0.0667;1.16;0.0642
2011;02;2011-02-06;1.5;0.049;1.09;-0.1349
2011;01;2011-01-30;1.43;-0.1734;1.26;0.4
2011;01;2011-01-23;1.73;0.1234;0.9;-0.2623
2011;01;2011-01-16;1.54;-0.0191;1.22;-0.0081
2011;01;2011-01-09;1.57;0.1985;1.23;0.0982
2011;01;2011-01-02;1.31;0.1102;1.12;-0.0744
2010;12;2010-12-26;1.18;-0.2237;1.21;-0.1037
2010;12;2010-12-19;1.52;0.0133;1.35;0.4674
2010;12;2010-12-12;1.5;-0.1071;0.92;-0.1154
2010;12;2010-12-05;1.68;-0.0667;1.04;-0.1405
2010;11;2010-11-28;1.8;-0.0164;1.21;-0.0763
2010;11;2010-11-21;1.83;0.2621;1.31;0.2476
2010;11;2010-11-14;1.45;-0.1317;1.05;-0.1732
2010;11;2010-11-07;1.67;0.0503;1.27;0.233
2010;10;2010-10-31;1.59;-0.0364;1.03;-0.055
2010;10;2010-10-24;1.65;0.0185;1.09;-0.0439
2010;10;2010-10-17;1.62;0.62;1.14;0.14
2010;10;2010-10-10;1;-0.3289;1;0.0101
2010;10;2010-10-03;1.49;-0.0067;0.99;-0.175
2010;09;2010-09-26;1.5;0.0417;1.2;0.0811
